route_code,route_name,route_type,stop_order,stop_name,latitude,longitude,source,fix_note,also_known_as
R1,Khokhrapar - Dockyard,Pink Bus,1,Khokhrapar,24.89977085,67.20235074,original,,
R1,Khokhrapar - Dockyard,Pink Bus,2,Saudabad,24.9008268,67.20130941,geocoded_verified_added,Added: reused verified coords of 'Saudabad Chowrangi',Saudabd
R1,Khokhrapar - Dockyard,Pink Bus,3,RCD Ground,24.8994019,67.1974687,geocoded_verified_added,"Added: was missing; RCD Ground Rd, Saudabad",
R1,Khokhrapar - Dockyard,Pink Bus,4,Kalaboard,24.8823269,67.1823277,geocoded_verified_added,Added: reused verified coords of 'Kalaboard',
R1,Khokhrapar - Dockyard,Pink Bus,5,Malir Halt,24.88473238,67.17530796,original,,
R1,Khokhrapar - Dockyard,Pink Bus,6,Shah Faisal Colony Gate,24.88711,67.1501422,original,,
R1,Khokhrapar - Dockyard,Pink Bus,7,Nata Khan Bridge,24.8870731,67.1335848,geocoded_verified_added,Added: was missing from route; official stop (Natha Khan Bridge),
R1,Khokhrapar - Dockyard,Pink Bus,8,Drigh Road Station,24.8866864,67.1258404,geocoded_verified_added,Added: reused verified coords of 'Drigh Road',
R1,Khokhrapar - Dockyard,Pink Bus,9,PAF Base Faisal,24.887125,67.11575,geocoded_verified_fixed,"FIXED: original coords (24.969, 67.223) were ~10km off, near Malir Cantt/Safoora area instead of the actual PAF Base Faisal on Shahrah-e-Faisal near Drigh Road",
R1,Khokhrapar - Dockyard,Pink Bus,10,Laal Kothi,24.861238,67.0694978,geocoded_verified_added,"Added: was missing; landmark on Shahrah-e-Faisal, PECHS Block 6",
R1,Khokhrapar - Dockyard,Pink Bus,11,Karsaz,24.8724882,67.0916203,original,,
R1,Khokhrapar - Dockyard,Pink Bus,12,Nursery,24.8606324,67.0628636,original,,
R1,Khokhrapar - Dockyard,Pink Bus,13,FTC,24.8583003,67.05220275,geocoded_verified_added,Added: reused verified coords of 'FTC',
R1,Khokhrapar - Dockyard,Pink Bus,14,Regent Plaza,24.8608,67.0413,geocoded_approximate_added,"Added: approximate — Regent Plaza Hotel, Main Shahrah-e-Faisal",
R1,Khokhrapar - Dockyard,Pink Bus,15,Metropole,24.8511971,67.0303951,geocoded_verified_added,Added: reused verified coords of 'Metropole',
R1,Khokhrapar - Dockyard,Pink Bus,16,Fawwara Chowk,24.8790498,67.0202258,geocoded_verified_added,"Added: was missing; Fawara Chowk, Garden West",
R1,Khokhrapar - Dockyard,Pink Bus,17,Arts Council,24.8530063,67.0208892,geocoded_verified_added,Added: was missing; Arts Council of Pakistan,
R1,Khokhrapar - Dockyard,Pink Bus,18,Shaheen Complex,24.8510544,67.0194896,geocoded_verified_added,"Added: was missing; Shaheen Complex, Civil Lines",
R1,Khokhrapar - Dockyard,Pink Bus,19,I.I. Chundrigar,24.89497742,67.05440128,original,,
R1,Khokhrapar - Dockyard,Pink Bus,20,Tower,24.8487511,66.996677,original,,
R1,Khokhrapar - Dockyard,Pink Bus,21,Fisheries,24.8511249,66.9798356,geocoded_verified_added,"Added: was missing; Karachi Fisheries, West Wharf",
R1,Khokhrapar - Dockyard,Pink Bus,22,Dockyard,24.8328009,66.9717941,original,,
R1,Khokhrapar - Dockyard,Pink Bus,23,Jinnah Bridge,24.8427,66.9903,geocoded_verified,,
R1,Khokhrapar - Dockyard,Pink Bus,24,Baloch Colony,24.87176,67.0797974,original,,
R1,Khokhrapar - Dockyard,Pink Bus,25,Jinnah International Airport,24.8865027,67.1440768,original,,
R1,Khokhrapar - Dockyard,Pink Bus,26,Chhota Gate,24.8868337,67.1593551,geocoded_verified_fixed,"verified: Chota Gate bus stop, Shah Faisal Colony (near airport side)",
R1,Khokhrapar - Dockyard,Pink Bus,27,Wireless Gate,24.885323,67.164898,geocoded_verified_fixed,"verified: Shahrah-e-Faisal Wireless Gate Rd, Shah Faisal Colony",
R2,Powerhouse - Indus Hospital,Pink Bus,1,Power House Chowrangi,24.9529226,67.0774852,original,,Power House
R2,Powerhouse - Indus Hospital,Pink Bus,2,Nagan Chowrangi,24.9650421,67.0668664,original,,
R2,Powerhouse - Indus Hospital,Pink Bus,3,Sohrab Goth,24.9436845,67.0843456,original,,Sohrab Goth
R2,Powerhouse - Indus Hospital,Pink Bus,4,Gulshan Chowrangi,24.9246131,67.0912849,original,,
R2,Powerhouse - Indus Hospital,Pink Bus,5,NIPA,24.917822,67.0971368,original,,
