route_code,route_name,route_type,stop_order,stop_name,latitude,longitude,source,fix_note,also_known_as
1-E,Manzoor Colony - Faqeer Colony,Local Bus,1,Manzoor Colony,24.84588,67.0873347,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,2,Bismillah Stop,24.83162005,67.14451077,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,3,Mehmoodabad No 6,24.85788262,67.08319274,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,4,Mehmoodabad No.5,24.85607089,67.07934783,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,5,Mehmoodabad No.4,24.85505235,67.07734677,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,6,Mehmoodabad No.3,24.85450576,67.07527141,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,7,Mehmoodabad No.2,24.85357209,67.07246517,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,8,Mehmoodabad No.1,24.8517963,67.06812927,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,9,Corporation,24.85559875,67.00782826,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,10,Parsi Colony,24.8720444,67.0301676,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,11,Kalapul,24.8480594,67.0485377,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,12,Jinnah Hospital,24.8517423,67.0471346,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,13,Regent Palaz,24.8551614,67.0399427,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,14,Lucky Star,24.857065,67.0331655,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,15,Saddar,24.85964895,67.03081575,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,16,Numaish,24.8733627,67.0359938,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,17,Gurumandir,24.88140425,67.03925328,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,18,Patel Para,24.8850313,67.0373183,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,19,Lasbela Chowk,24.8873906,67.0330192,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,20,Golimar,24.9011071,67.0304545,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,21,Petrol Pump,24.91049797,67.0317775,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,22,Nazimabad,24.905865,67.0307183,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,23,Habib Bank,24.9365406,67.0656617,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,24,Valika,24.9272234,67.0155671,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,25,Orangi No 4,24.9461056,67.0128813,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,26,Orangi No 10,24.9461056,67.0128813,original,,
1-E,Manzoor Colony - Faqeer Colony,Local Bus,27,Faqeer Colony,24.92615645,66.97533753,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,1,Raees Amrohi Colony,24.9609285,66.9743851,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,2,Islam Chowk,24.9552879,66.9900921,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,3,Nishan e hyder Chowk,24.9472011,66.99404664,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,4,Orangi No 5,24.94093003,67.00120971,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,5,Habib Bank,24.9365406,67.0656617,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,6,Imam Bara,24.8867316,67.046841,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,7,Bismillah Hotel,24.8143365,67.0365676,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,8,Garden,24.8457029,67.0234024,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,9,Saddar,24.85964895,67.03081575,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,10,Jinnah Hospital,24.8517423,67.0471346,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,11,Akhter Colony,24.8340477,67.0742769,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,12,Qayyumabad,24.8293018,67.0809166,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,13,Korangi Industrial Area,24.841706,67.1339881,original,,
1-L,Raees Amrohi Colony - Sharifabad,Local Bus,14,Sharifabad,24.9112963,67.0537095,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,1,Gulistan e jouhar,24.9311811,67.1570819,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,2,Safari Park,24.92050075,67.11144638,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,3,Nipa Chowrangi,24.917822,67.0971368,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,4,Civic Centre,24.90068052,67.07315729,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,5,Sabzi Mandi,24.860696,67.0005244,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,6,Jail Road,24.8891661,67.0515129,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,7,Hyderabad Colony,24.8853926,67.0539685,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,8,Gurumandir,24.88140425,67.03925328,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,9,Numaish,24.8733627,67.0359938,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,10,Saddar,24.85964895,67.03081575,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,11,Regal Chowk,24.8604633,67.0244318,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,12,Saeed Manzil,24.840312,67.0177218,original,,
11-A,Gulistan e jouhar - M.a Jinnah Road,Local Bus,13,M.a Jinnah Road,24.8750228,67.0372144,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,1,Azam Basti,24.8481043,67.0746834,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,2,Corporation,24.85559875,67.00782826,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,3,Parsi Colony,24.8720444,67.0301676,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,4,Kalapul,24.8480594,67.0485377,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,5,Jinnah Hospital,24.8517423,67.0471346,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,6,Saddar,24.85964895,67.03081575,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,7,7th Day Hospital,24.8661719,67.02762135,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,8,Numaish,24.8733627,67.0359938,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,9,Gurumandir,24.88140425,67.03925328,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,10,Islamia College,24.8797964,67.04616588,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,11,Jail Chowrangi,24.8848564,67.0565777,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,12,New Town Police Station,24.8888121,67.0604742,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,13,Sabzi Mandi,24.860696,67.0005244,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,14,Civic Centre,24.90068052,67.07315729,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,15,Urdu College,24.9130813,67.0912676,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,16,Nipa Chowrangi,24.917822,67.0971368,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,17,Safari Park,24.92050075,67.11144638,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,18,Karachi University,24.8787907,67.04753855,original,,
11-C,Azam Basti - Safoora Goth,Local Bus,19,Safoora Goth,24.9392946,67.1561264,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,1,Saddar,24.85964895,67.03081575,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,2,Jinnah Hospital,24.8517423,67.0471346,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,3,Kalapul,24.8480594,67.0485377,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,4,Defence Market,24.8384869,67.0811535,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,5,Akhter Colony,24.8340477,67.0742769,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,6,Kpt Interchange,24.8312646,67.0809597,original,,
17-H,Saddar - Dhobi Ghat,Local Bus,7,Korangi Crossing,24.81718886,67.10777973,original,,
